project_id,owner_id,user_id,Time_Create,Time_Meb0,Time_Meb1,Time_Cmt0,Time_Cmt1,project_language,Tech_lang,Project_Member,Project_Commit_Count,Project_Size,Open_Issues_Count,Forks,Watchers,Network_Count,Stargazers_Count,has_star_developer,Successful_Onboarding
41342,116122,116274,219941,220001,145508,411442,2671762,C++,1,6,2620,237003,24,24,218,907,130,1,1
41601,116753,1482281,689910,690030,387129,611014,4103524,Java,1,57,4898,,,,,,,1,1
44967,33180,33353,60,0,388670,1359321,2096307,Java,5,22,28425,435650,31,31,346,487,102,1,1
10366344,3423103,1326365,120,0,0,6,2411862,JavaScript,11,15,87,57,2,2,10,3,17,1,1
10381900,3936199,4367042,120,0,0,58199,3839241,C#,1,12,246,59112,0,0,0,6,17,1,0
10390342,2194530,106408,120,0,0,2177066,2653227,C#,1,12,240,5013,2,2,3,11,20,1,0
50619,132144,478967,54008,54128,354379,1264003,2217605,C++,1,16,2316,25377,67,67,100,302,56,1,0
50901,7345,30136,119,0,0,592,2105716,Python,3,14,1777,11186,51,51,58,146,41,1,1
54076,137394,100891,120,0,0,1732246,2095861,C#,1,18,24715,283575,1604,1604,2371,10674,381,1,1
54273,137690,3382943,2099305,2099365,6,1432710,3900451,C,1,7,338,13212,1,1,0,9,8,1,0
56432,112494,112709,59,0,172147,420549,4225934,Ruby,1,7,243,599002,20,20,15,16,7,1,1
57182,142810,142813,214590,214710,3280359,980,2150260,C,1,9,1246,17144,85,85,140,413,37,1,1
60101,4066,67833,1554354,1554474,1962278,1554473,2097095,Ruby,7,99,1054,3882,160,160,594,1500,374,1,0
64336,153561,150143,60,0,814719,13090,3599402,Ruby,1,30,651,3862,90,90,212,728,38,1,1
64607,78315,141132,59,0,393651,142378,4208740,Java,1,17,60,570,1,1,11,6,15,1,1
67874,5333,14782,120,0,640954,3417875,2097284,Java,16,53,28076,1983609,34,34,100,158,23,1,1
70160,86168,71919,5083,5203,335266,4004,2099433,Java,2,11,2576,19946,37,37,4,11,23,1,0
70178,4394,12321,120,0,4020186,78658,2156025,C#,41,59,529,2973,9,9,69,65,41,1,1
73473,1146,156692,153949,154069,2640011,7171,4166079,PHP,1,8,661,260025,0,0,12,17,6,1,0
76416,82489,82526,120,0,479819,7640,4438432,Ruby,2,15,104,94,3,3,0,6,15,1,1
80421,19723,19601,120,0,3082495,14215,2109253,PHP,26,59,670,8622,35,35,373,1537,70,1,1
83157,260789,479763,120,0,0,2535468,2098585,Python,3,9,18970,98472,7,7,170,517,37,1,1
86039,83945,150417,120,0,0,2236,2680853,JavaScript,2,7,171,3518,6,6,19,235,12,1,1
86584,84320,84299,1446651,1446711,992709,671566,3128721,C++,2,12,951,243703,51,51,77,184,34,1,0
95112,290998,291138,6778,6898,233246,362817,2174941,Java,1,9,394,284721,20,20,67,226,33,1,1
107052,5954,8747,119,0,355442,2424400,2108541,Python,83,149,388,572,19,19,12,3,164,1,0
107052,5954,45612,119,0,355442,2424400,2108541,Python,81,149,388,572,19,19,12,3,164,1,0
114675,269093,269091,119,0,198949,232,4923517,Ruby,1,17,40,95,10,10,0,1,10,1,1
115803,256170,85747,119,0,19018,726,4157048,Python,2,8,105,,,,,,,1,1
116066,329582,2219571,204492,528402,204433,508057,3872857,C++,1,6,539,27284,0,0,18,13,13,1,0
120839,244061,60638,120,0,236381,1,5174073,Python,1,8,21,225,2,2,9,89,32,1,0
121891,149990,244695,25,85,885588,82,3902604,Java,1,7,516,23430,14,14,9,15,10,1,1
124505,5954,8781,60,0,510164,237974,2181715,Python,66,234,882,,,,,,,1,0
124505,5954,77246,60,0,510164,237974,2181715,Python,81,234,882,,,,,,,1,0
125032,5954,8728,120,0,586230,1195426,2098910,Python,81,234,908,15847,3,3,36,12,165,1,1
131027,1962,80969,59,0,526332,0,2107493,Python,35,322,739,925,12,12,11,10,113,1,0
138427,132161,132221,2384,2504,1894022,3164753,2201152,Java,18,10,334,466,0,0,1,7,15,1,1
141953,153470,153529,120,0,240605,165,4262184,JavaScript,1,46,331,27311,7,7,26,6,13,1,1
143793,49262,49301,120,0,0,1541648,2146058,PHP,10,9,228,823,18,18,12,7,13,1,0
145347,37466,37644,119,0,0,19167,2129054,Python,1,11,40,174,9,9,22,251,50,1,0
150610,218643,15222,59,0,363590,310509,2480082,PHP,1,13,208,7318,0,0,26,50,21,1,0
152921,5954,77283,120,0,599265,1393551,2122257,Python,81,234,774,2732,55,55,43,18,164,1,1
157894,6650,6695,59,0,1702420,61,3692837,PHP,2,6,57,72,19,19,61,222,21,1,0
161497,290178,1041039,120,0,159149,1,4057174,JavaScript,2,10,101,388,2,2,4,24,11,1,0
161684,5954,77283,119,0,600004,168605,2172600,Python,81,230,419,505,11,11,27,2,162,1,1
162964,392838,498284,59,0,5174,364739,5316747,Python,1,14,2466,21362,17,17,177,631,42,1,1
184772,72879,366363,120,0,0,1294,2277701,PHP,4,6,161,353,14,14,45,81,13,1,0
196307,407646,29389,59,0,2943103,43623,2101394,JavaScript,14,25,4176,32335,165,165,232,1506,81,1,1
196307,407646,30035,59,0,2943103,43623,2101394,JavaScript,4,25,4176,32335,165,165,232,1506,81,1,1
197275,2206,76429,120,0,0,135,2111585,Java,13,295,140,602,13,13,99,33,116,1,0
201560,1503,425211,119,0,2351230,119,2721626,JavaScript,1,39,232,30413,13,13,20,24,19,1,1
216699,7495,31661,60,0,1051820,66111,3435093,Java,2,28,277,712,0,0,4,7,74,1,0
240904,69363,686439,604276,604336,0,604271,3539932,Python,1,8,136,3896,7,7,7,8,9,1,0
245160,149658,221127,60,0,110784,1280262,2651498,Python,1,39,186,20983,44,44,84,241,56,1,0
254425,17715,54365,202874,202994,526636,194510,2342421,JavaScript,1,11,223,551,42,42,446,1719,150,1,0
254425,17715,214007,439842,439962,289668,431478,2342421,JavaScript,1,11,223,551,42,42,446,1719,150,1,0
281954,3934,324941,1074269,1074329,1170414,1588158,2556403,Ruby,5,6,316,242,2,2,5,13,4,1,1
306455,1962,80925,119,0,0,121,2479567,Python,36,256,184,3668,16,16,14,8,121,1,0
316556,1962,60374,990920,0,342612,77681,2884101,Python,81,256,29,126,3,3,0,3,123,1,1
341854,501726,369666,119,0,0,667,2236499,JavaScript,1,12,1489,25547,527,527,247,1358,71,1,0
349149,33039,207715,59,0,309411,0,2580321,Ruby,1,38,92,80,0,0,0,2,110,1,0
369514,8458,8780,119,0,187003,119,2101786,Python,92,14,607,555,7,7,2,4,19,1,1
10433189,346764,4271657,120,0,0,3177703,2097817,Java,1,16,10135,120260,10,10,37,28,98,1,1
10448086,6270,3131210,120,0,0,15594,2101711,JavaScript,1,21,790,2763,10,10,8,4,13,1,1
10451794,4024425,622138,120,0,0,446,2116878,Python,16,22,251,692,14,14,92,28,36,1,1
10451794,4024425,2726797,120,0,0,446,2116878,Python,16,22,251,692,14,14,92,28,36,1,0
10474967,1199648,2745586,81,201,1006947,201,2712596,PHP,3,6,39,,,,,,,1,1
10480181,186215,2438736,120,0,0,1,3249074,Ruby,2,14,274,1137,135,135,223,1433,55,1,0
10483614,4024425,1834884,120,0,0,1496063,2095430,Python,16,22,2713,31582,256,256,596,212,99,1,1
10485817,4024425,4145642,119,0,0,735974,2169607,Python,16,22,371,1070,9,9,140,39,38,1,1
10490840,4034567,2467687,120,0,0,44846,2270098,JavaScript,1,7,23,258,5,5,3,11,9,1,0
10496702,1460253,1327707,59,0,0,221275,2111527,Java,1,25,359,1228,23,23,117,138,40,1,0
10597628,2206,2021195,61796,0,0,1874,2097853,Java,1,352,786,6717,222,222,565,1357,66,1,1
10642000,205590,3342424,24114,24234,138614,44501,2667102,Python,1,6,183,1828,4,4,9,21,9,1,1
371922,522785,522797,140747,140867,1359544,140634,2106464,Java,1,7,1365,43245,50,50,13,24,8,1,1
377275,100781,192272,181353,181412,1133941,181411,3617852,Ruby,1,7,9803,75097,18,18,74,36,10,1,0
378842,82489,239218,120,0,590157,44496,3133766,Ruby,2,16,276,815,3,3,0,5,17,1,1
385071,201124,201151,59,0,852274,2,2600780,Python,6,8,279,428,5,5,2,21,11,1,1
406850,200242,2605826,585642,585762,113940,585642,4243854,Java,1,6,258,,,,,,,1,1
408009,24147,2318,120,0,0,2944,3499600,Python,2,29,39,228,0,0,1,3,103,1,0
458701,113754,495124,119,0,299158,886,2453520,C++,7,17,155,863,18,18,53,38,20,1,0
468183,24533,93123,1344757,1344877,0,1344876,2642862,JavaScript,1,8,373,12322,28,28,9,25,6,1,0
476221,163974,5485,119,0,2752,2641,2106715,PHP,11,6,412,36047,69,69,32,176,27,1,1
489159,24809,2352054,120,0,2512048,660626,2095402,Python,1,33,884,10625,15,15,68,48,26,1,0
500784,4394,12315,120,0,4020178,1320184,2107366,C#,11,59,558,4357,37,37,88,152,36,1,0
